2021-11-28 19:41:02,562 - exp name: KL_model_pool_1
2021-11-28 19:46:39,558 - total_step: 1000, sum_reward: 203.35956346904217
2021-11-28 19:54:06,453 - total_step: 2000, sum_reward: 320.849694818818
2021-11-28 19:57:32,514 - total_step: 3000, sum_reward: 280.48432259668056
2021-11-28 20:08:10,020 - total_step: 4000, sum_reward: 265.1904895791985
2021-11-28 20:11:45,254 - total_step: 5000, sum_reward: 302.296298934664
2021-11-28 20:15:03,604 - total_step: 6000, sum_reward: 268.08589409890476
2021-11-28 20:18:27,611 - total_step: 7000, sum_reward: 304.6499061201582
2021-11-28 20:29:03,260 - total_step: 8000, sum_reward: 336.89982049902676
2021-11-28 20:40:01,444 - total_step: 9000, sum_reward: 311.36708055913243
2021-11-28 20:46:18,504 - total_step: 10000, sum_reward: 318.12162601880726
2021-11-28 20:50:13,440 - total_step: 11000, sum_reward: 286.9399747016943
2021-11-28 20:53:43,056 - total_step: 12000, sum_reward: 299.5988628894076
2021-11-28 20:57:27,342 - total_step: 13000, sum_reward: 349.2458220267938
2021-11-28 21:01:47,567 - total_step: 14000, sum_reward: 456.3092686463435
2021-11-28 21:05:31,953 - total_step: 15000, sum_reward: 303.8544811541404
2021-11-28 21:16:44,955 - total_step: 16000, sum_reward: 529.6134040821587
2021-11-28 21:29:07,480 - total_step: 17000, sum_reward: 1265.5357339930924
2021-11-28 21:40:47,933 - total_step: 18000, sum_reward: 1097.6103507564608
2021-11-28 21:52:34,834 - total_step: 19000, sum_reward: 361.6276766523984
2021-11-28 22:05:57,560 - total_step: 20000, sum_reward: 530.6099584177326
2021-11-28 22:10:15,440 - total_step: 21000, sum_reward: 516.2595719130097
2021-11-28 22:15:36,171 - total_step: 22000, sum_reward: 623.2106142511846
2021-11-28 22:20:02,552 - total_step: 23000, sum_reward: 625.2673945952093
2021-11-28 22:24:40,115 - total_step: 24000, sum_reward: 639.1022349154346
2021-11-28 22:29:25,912 - total_step: 25000, sum_reward: 554.8634293427286
2021-11-28 22:34:10,270 - total_step: 26000, sum_reward: 2150.2380602487333
2021-11-28 22:41:03,876 - total_step: 27000, sum_reward: 2284.8430060139726
2021-11-28 22:46:06,444 - total_step: 28000, sum_reward: 2509.3592187821578
2021-11-28 22:50:57,254 - total_step: 29000, sum_reward: 2525.4888088847893
2021-11-28 22:57:03,320 - total_step: 30000, sum_reward: 2315.9013775662297
2021-11-28 23:01:51,424 - total_step: 31000, sum_reward: 1710.216499771912
2021-11-28 23:13:50,429 - total_step: 32000, sum_reward: 2982.787697240012
2021-11-28 23:27:16,343 - total_step: 33000, sum_reward: 768.6605711709183
2021-11-28 23:41:18,267 - total_step: 34000, sum_reward: 2884.967203187421
2021-11-28 23:55:18,349 - total_step: 35000, sum_reward: 1995.135086269286
2021-11-29 00:07:54,256 - total_step: 36000, sum_reward: 2944.3767588775513
2021-11-29 00:21:14,736 - total_step: 37000, sum_reward: 3003.120408310215
2021-11-29 00:34:30,100 - total_step: 38000, sum_reward: 2996.852479775993
2021-11-29 00:47:23,867 - total_step: 39000, sum_reward: 3174.5283561740403
2021-11-29 01:00:56,961 - total_step: 40000, sum_reward: 3277.3936107011873
2021-11-29 01:13:52,700 - total_step: 41000, sum_reward: 2738.41834815399
2021-11-29 01:22:18,784 - total_step: 42000, sum_reward: 3234.804539030635
2021-11-29 01:27:42,531 - total_step: 43000, sum_reward: 3127.7506677127553
2021-11-29 01:32:27,200 - total_step: 44000, sum_reward: 3234.0888752688256
2021-11-29 01:37:57,083 - total_step: 45000, sum_reward: 1111.3158494588408
2021-11-29 01:43:30,394 - total_step: 46000, sum_reward: 1174.785420794436
2021-11-29 01:49:57,372 - total_step: 47000, sum_reward: 3258.54327792619
2021-11-29 01:55:05,589 - total_step: 48000, sum_reward: 2459.8433072209964
2021-11-29 01:59:48,477 - total_step: 49000, sum_reward: 1585.5049960705157
2021-11-29 02:04:35,407 - total_step: 50000, sum_reward: 3182.677268042348
2021-11-29 02:10:41,979 - total_step: 51000, sum_reward: 3136.234494973609
2021-11-29 02:16:40,575 - total_step: 52000, sum_reward: 3151.3736971549347
2021-11-29 02:22:10,916 - total_step: 53000, sum_reward: 3136.088473768834
2021-11-29 02:28:24,696 - total_step: 54000, sum_reward: 3139.22662828156
2021-11-29 02:34:24,915 - total_step: 55000, sum_reward: 3221.7593271641663
2021-11-29 02:40:40,165 - total_step: 56000, sum_reward: 3186.09427796791
2021-11-29 02:46:46,261 - total_step: 57000, sum_reward: 3253.517511657606
2021-11-29 02:52:08,429 - total_step: 58000, sum_reward: 3207.419195623162
2021-11-29 02:57:27,214 - total_step: 59000, sum_reward: 3178.0462428073592
2021-11-29 03:03:21,967 - total_step: 60000, sum_reward: 3302.1177144316352
2021-11-29 03:09:09,576 - total_step: 61000, sum_reward: 3163.5639264243705
2021-11-29 03:14:49,264 - total_step: 62000, sum_reward: 3168.0131611006645
2021-11-29 03:21:12,401 - total_step: 63000, sum_reward: 3225.0891035949358
2021-11-29 03:34:30,404 - total_step: 64000, sum_reward: 3226.499914348714
2021-11-29 03:49:54,608 - total_step: 65000, sum_reward: 3206.0444896134577
2021-11-29 04:04:02,875 - total_step: 66000, sum_reward: 3196.905126814789
2021-11-29 04:18:23,459 - total_step: 67000, sum_reward: 3184.723268006721
2021-11-29 04:31:35,926 - total_step: 68000, sum_reward: 3167.8076856908865
2021-11-29 04:46:05,222 - total_step: 69000, sum_reward: 3241.9228452826283
2021-11-29 05:00:18,695 - total_step: 70000, sum_reward: 3257.259803237707
2021-11-29 05:14:46,065 - total_step: 71000, sum_reward: 3292.9182436872015
2021-11-29 05:28:46,362 - total_step: 72000, sum_reward: 2359.5801535667633
2021-11-29 05:43:05,432 - total_step: 73000, sum_reward: 3299.9709338577345
2021-11-29 05:56:57,110 - total_step: 74000, sum_reward: 3260.860144406422
2021-11-29 06:10:54,162 - total_step: 75000, sum_reward: 3277.229217239272
2021-11-29 06:24:42,781 - total_step: 76000, sum_reward: 3252.262748537685
2021-11-29 06:39:27,913 - total_step: 77000, sum_reward: 3278.026391947876
2021-11-29 06:55:04,159 - total_step: 78000, sum_reward: 3260.901268232764
2021-11-29 07:09:13,724 - total_step: 79000, sum_reward: 3273.6047422430725
2021-11-29 07:23:26,400 - total_step: 80000, sum_reward: 3254.472076266122
2021-11-29 07:39:04,476 - total_step: 81000, sum_reward: 3238.8877912764856
2021-11-29 07:52:50,137 - total_step: 82000, sum_reward: 3228.2252097173014
2021-11-29 08:08:00,382 - total_step: 83000, sum_reward: 3265.9841450272197
2021-11-29 08:22:42,123 - total_step: 84000, sum_reward: 3251.9445313598376
2021-11-29 08:28:58,355 - total_step: 85000, sum_reward: 3244.1155487139404
2021-11-29 08:35:21,863 - total_step: 86000, sum_reward: 3274.521020438491
2021-11-29 08:42:46,899 - total_step: 87000, sum_reward: 3282.9629490311486
2021-11-29 08:49:49,544 - total_step: 88000, sum_reward: 3232.8092550956367
2021-11-29 08:56:22,565 - total_step: 89000, sum_reward: 3224.505240352167
2021-11-29 09:04:29,881 - total_step: 90000, sum_reward: 3234.980641547755
2021-11-29 09:13:37,149 - total_step: 91000, sum_reward: 3240.5930733568794
2021-11-29 09:21:26,115 - total_step: 92000, sum_reward: 3199.2062370942176
2021-11-29 09:29:03,903 - total_step: 93000, sum_reward: 3222.768634788745
2021-11-29 09:36:16,599 - total_step: 94000, sum_reward: 3214.4607642536953
2021-11-29 09:43:48,004 - total_step: 95000, sum_reward: 3274.2205833976027
2021-11-29 09:52:14,171 - total_step: 96000, sum_reward: 3140.0364496633133
2021-11-29 10:00:01,182 - total_step: 97000, sum_reward: 3137.2152692433524
2021-11-29 10:07:33,591 - total_step: 98000, sum_reward: 3279.2831203284736
2021-11-29 10:14:41,196 - total_step: 99000, sum_reward: 3212.6387379683156
2021-11-29 10:22:16,159 - total_step: 100000, sum_reward: 3215.8561356036066
2021-11-29 10:30:08,550 - total_step: 101000, sum_reward: 3239.120486185733
2021-11-29 10:37:04,995 - total_step: 102000, sum_reward: 3227.405372973346
2021-11-29 10:45:12,027 - total_step: 103000, sum_reward: 3223.0430732101468
2021-11-29 10:53:41,489 - total_step: 104000, sum_reward: 3282.792800827393
2021-11-29 11:01:35,415 - total_step: 105000, sum_reward: 3248.0150849379565
2021-11-29 11:10:27,997 - total_step: 106000, sum_reward: 3248.245954363431
2021-11-29 11:19:14,946 - total_step: 107000, sum_reward: 3212.5878650255154
2021-11-29 11:26:44,666 - total_step: 108000, sum_reward: 3215.9119264353258
2021-11-29 11:34:45,029 - total_step: 109000, sum_reward: 3202.3406090291783
2021-11-29 11:42:19,467 - total_step: 110000, sum_reward: 3173.9108870862497
2021-11-29 11:50:25,852 - total_step: 111000, sum_reward: 3233.6476594508936
2021-11-29 11:57:05,984 - total_step: 112000, sum_reward: 3211.580323279456
2021-11-29 12:05:46,920 - total_step: 113000, sum_reward: 3201.4737243918216
2021-11-29 12:14:37,375 - total_step: 114000, sum_reward: 3193.2602218431066
2021-11-29 12:23:11,017 - total_step: 115000, sum_reward: 3197.6451002945
2021-11-29 12:30:21,006 - total_step: 116000, sum_reward: 2910.1389962982403
2021-11-29 12:38:19,403 - total_step: 117000, sum_reward: 3220.026075647427
2021-11-29 12:46:51,244 - total_step: 118000, sum_reward: 3225.778984093779
2021-11-29 12:55:09,960 - total_step: 119000, sum_reward: 3267.361164940429
2021-11-29 13:03:09,863 - total_step: 120000, sum_reward: 3211.027980186602
2021-11-29 13:11:29,524 - total_step: 121000, sum_reward: 3268.2861310352573
2021-11-29 13:19:24,276 - total_step: 122000, sum_reward: 3206.521395707186
2021-11-29 13:29:32,794 - total_step: 123000, sum_reward: 3252.3485097224534
2021-11-29 13:37:51,506 - total_step: 124000, sum_reward: 3234.004013679127
2021-11-29 13:46:41,650 - total_step: 125000, sum_reward: 3231.306666295625
2021-11-29 13:54:11,500 - total_step: 126000, sum_reward: 3209.4916907060406
2021-11-29 14:01:16,990 - total_step: 127000, sum_reward: 3251.2222332730344
2021-11-29 14:15:47,578 - total_step: 128000, sum_reward: 3215.0856491420113
2021-11-29 14:32:15,015 - total_step: 129000, sum_reward: 3246.382378953872
2021-11-29 14:47:27,328 - total_step: 130000, sum_reward: 3228.1117082053156
2021-11-29 15:02:40,721 - total_step: 131000, sum_reward: 3186.8994492954707
2021-11-29 15:17:49,198 - total_step: 132000, sum_reward: 2845.915202014226
2021-11-29 15:33:23,356 - total_step: 133000, sum_reward: 3257.091021261603
2021-11-29 15:48:16,614 - total_step: 134000, sum_reward: 3228.354091986231
2021-11-29 16:03:53,341 - total_step: 135000, sum_reward: 3258.3450111333045
2021-11-29 16:19:09,428 - total_step: 136000, sum_reward: 3187.8761613638553
2021-11-29 16:35:52,066 - total_step: 137000, sum_reward: 3238.179717828424
2021-11-29 16:52:06,801 - total_step: 138000, sum_reward: 3253.793383902877
2021-11-29 17:08:26,014 - total_step: 139000, sum_reward: 3164.410043091211
2021-11-29 17:24:41,435 - total_step: 140000, sum_reward: 3212.8417255121885
2021-11-29 17:40:57,380 - total_step: 141000, sum_reward: 3239.487114486784
2021-11-29 17:58:05,200 - total_step: 142000, sum_reward: 3187.1566477023343
2021-11-29 18:13:38,745 - total_step: 143000, sum_reward: 3246.5566380559
2021-11-29 18:31:24,049 - total_step: 144000, sum_reward: 3292.3130261143615
