2021-11-30 22:33:00,137 - exp name: KL_model_pool_3
2021-11-30 22:33:06,358 - exp name: KL_model_pool_3
2021-12-01 09:57:40,535 - total_step: 81000, sum_reward: 3338.551728010424
2021-12-01 10:10:28,758 - total_step: 82000, sum_reward: 985.0737049707236
2021-12-01 10:24:01,015 - total_step: 83000, sum_reward: 3370.412020263976
2021-12-01 10:38:38,790 - total_step: 84000, sum_reward: 3312.9629150656583
2021-12-01 10:45:29,800 - total_step: 85000, sum_reward: 2993.8559382664853
2021-12-01 10:52:28,322 - total_step: 86000, sum_reward: 1045.7133551702575
2021-12-01 10:58:47,432 - total_step: 87000, sum_reward: 1059.1814581672095
2021-12-01 11:06:17,846 - total_step: 88000, sum_reward: 986.5676830801409
2021-12-01 11:13:40,433 - total_step: 89000, sum_reward: 1015.9186873010693
2021-12-01 11:21:28,646 - total_step: 90000, sum_reward: 1018.799012199779
2021-12-01 11:28:31,903 - total_step: 91000, sum_reward: 1394.5713365823553
2021-12-01 11:35:53,472 - total_step: 92000, sum_reward: 1302.3254168584094
2021-12-01 11:42:23,414 - total_step: 93000, sum_reward: 3341.9442853881023
2021-12-01 11:50:17,914 - total_step: 94000, sum_reward: 1193.26051665871
2021-12-01 11:57:17,203 - total_step: 95000, sum_reward: 1089.691020193191
2021-12-01 12:04:27,092 - total_step: 96000, sum_reward: 3353.5006401469886
2021-12-01 12:11:01,013 - total_step: 97000, sum_reward: 1643.9514275478748
2021-12-01 12:17:45,307 - total_step: 98000, sum_reward: 1064.892249975394
2021-12-01 12:26:51,373 - total_step: 99000, sum_reward: 3210.383124750247
2021-12-01 12:34:47,049 - total_step: 100000, sum_reward: 3294.308923983232
2021-12-01 12:41:41,407 - total_step: 101000, sum_reward: 1116.6984228970605
2021-12-01 12:48:59,670 - total_step: 102000, sum_reward: 1062.9091340058358
2021-12-01 12:56:53,059 - total_step: 103000, sum_reward: 3356.7781698353742
2021-12-01 13:04:59,170 - total_step: 104000, sum_reward: 1636.5615085887562
2021-12-01 13:12:02,573 - total_step: 105000, sum_reward: 3144.179561508527
2021-12-01 13:19:29,845 - total_step: 106000, sum_reward: 3357.9948333251477
2021-12-01 13:27:30,327 - total_step: 107000, sum_reward: 3405.5073200547295
2021-12-01 13:34:06,914 - total_step: 108000, sum_reward: 1141.330720303445
2021-12-01 13:40:24,307 - total_step: 109000, sum_reward: 1083.775434511155
2021-12-01 13:49:00,393 - total_step: 110000, sum_reward: 1317.0675707841651
2021-12-01 13:58:11,002 - total_step: 111000, sum_reward: 3396.75897518205
2021-12-01 14:05:16,055 - total_step: 112000, sum_reward: 3410.5058247405236
2021-12-01 14:13:38,221 - total_step: 113000, sum_reward: 1440.0741512707425
2021-12-01 14:22:08,560 - total_step: 114000, sum_reward: 1400.4411281949976
2021-12-01 14:29:17,071 - total_step: 115000, sum_reward: 1100.6908539783349
2021-12-01 14:36:26,863 - total_step: 116000, sum_reward: 3365.1831541563565
2021-12-01 14:45:18,133 - total_step: 117000, sum_reward: 1280.4157742919479
2021-12-01 14:54:54,328 - total_step: 118000, sum_reward: 1244.6994820968018
2021-12-01 15:04:52,945 - total_step: 119000, sum_reward: 1100.30254579057
2021-12-01 15:13:54,129 - total_step: 120000, sum_reward: 3338.202910683784
2021-12-01 15:22:35,361 - total_step: 121000, sum_reward: 1166.5613928659757
2021-12-01 15:30:59,467 - total_step: 122000, sum_reward: 1683.3947955577987
2021-12-01 15:38:55,309 - total_step: 123000, sum_reward: 1392.5548117351025
2021-12-01 15:48:44,017 - total_step: 124000, sum_reward: 1177.2329068345466
2021-12-01 15:57:09,971 - total_step: 125000, sum_reward: 1070.6168621431693
2021-12-01 16:05:54,305 - total_step: 126000, sum_reward: 1166.3286922130835
2021-12-01 16:13:51,386 - total_step: 127000, sum_reward: 3341.515843575349
2021-12-01 16:27:50,961 - total_step: 128000, sum_reward: 3336.4577965715757
2021-12-01 16:43:14,016 - total_step: 129000, sum_reward: 1151.9236293779384
2021-12-01 16:59:13,609 - total_step: 130000, sum_reward: 1163.8882087782686
2021-12-01 17:15:31,041 - total_step: 131000, sum_reward: 1383.3842906495126
2021-12-01 17:30:08,470 - total_step: 132000, sum_reward: 1224.9286433304665
2021-12-01 17:46:34,766 - total_step: 133000, sum_reward: 1289.3768342721428
2021-12-01 18:03:01,927 - total_step: 134000, sum_reward: 1289.3799934155852
2021-12-01 18:19:49,477 - total_step: 135000, sum_reward: 1145.388800730493
2021-12-01 18:38:04,071 - total_step: 136000, sum_reward: 1179.2431615218127
2021-12-01 18:56:42,221 - total_step: 137000, sum_reward: 944.661945308833
2021-12-01 19:14:16,485 - total_step: 138000, sum_reward: 1737.8544162061014
