2021-11-29 19:20:59,889 - exp name: KL_model_pool_2
2021-11-29 19:21:25,198 - exp name: KL_model_pool_2
2021-11-29 19:25:58,803 - exp name: KL_model_pool_2
2021-11-30 06:57:00,106 - total_step: 80000, sum_reward: 3315.518025146308
2021-11-30 07:11:00,498 - total_step: 81000, sum_reward: 3404.5295484368876
2021-11-30 07:24:30,894 - total_step: 82000, sum_reward: 3327.449605520934
2021-11-30 07:38:45,917 - total_step: 83000, sum_reward: 3367.3459883847777
2021-11-30 07:53:09,919 - total_step: 84000, sum_reward: 3376.2743151268523
2021-11-30 07:59:41,606 - total_step: 85000, sum_reward: 3383.6783724196853
2021-11-30 08:06:38,369 - total_step: 86000, sum_reward: 3385.731114436747
2021-11-30 08:12:47,644 - total_step: 87000, sum_reward: 3364.0847004453144
2021-11-30 08:20:36,534 - total_step: 88000, sum_reward: 3369.269817260856
2021-11-30 08:27:22,297 - total_step: 89000, sum_reward: 3375.741753488718
2021-11-30 08:33:50,816 - total_step: 90000, sum_reward: 3435.973839006456
2021-11-30 08:41:20,943 - total_step: 91000, sum_reward: 3374.19617064809
2021-11-30 08:48:27,709 - total_step: 92000, sum_reward: 3416.0155979086962
2021-11-30 08:55:06,207 - total_step: 93000, sum_reward: 3375.428289017364
2021-11-30 09:01:38,663 - total_step: 94000, sum_reward: 3429.8608209112313
2021-11-30 09:10:24,711 - total_step: 95000, sum_reward: 3394.3730137513544
2021-11-30 09:17:18,837 - total_step: 96000, sum_reward: 3422.0114649271177
2021-11-30 09:23:41,429 - total_step: 97000, sum_reward: 3417.9756296907567
2021-11-30 09:30:18,780 - total_step: 98000, sum_reward: 3360.0017508219757
2021-11-30 09:37:36,493 - total_step: 99000, sum_reward: 3445.6645278015867
2021-11-30 09:44:14,010 - total_step: 100000, sum_reward: 3442.600543525359
2021-11-30 09:50:37,767 - total_step: 101000, sum_reward: 3436.663875853594
2021-11-30 09:58:08,548 - total_step: 102000, sum_reward: 3411.042184625617
2021-11-30 10:05:33,078 - total_step: 103000, sum_reward: 3389.9536589532345
2021-11-30 10:12:55,440 - total_step: 104000, sum_reward: 3370.4639485067755
2021-11-30 10:19:29,530 - total_step: 105000, sum_reward: 3442.7941989062924
2021-11-30 10:29:29,009 - total_step: 106000, sum_reward: 3408.285945755568
2021-11-30 10:36:49,939 - total_step: 107000, sum_reward: 3418.4010506113436
2021-11-30 10:43:55,394 - total_step: 108000, sum_reward: 3405.120422802398
2021-11-30 10:51:09,965 - total_step: 109000, sum_reward: 3435.908813035699
2021-11-30 10:58:06,543 - total_step: 110000, sum_reward: 3419.930330440621
2021-11-30 11:06:05,981 - total_step: 111000, sum_reward: 3491.9231407880725
2021-11-30 11:13:58,456 - total_step: 112000, sum_reward: 3418.2996789376366
2021-11-30 11:20:59,299 - total_step: 113000, sum_reward: 3389.902785198681
2021-11-30 11:28:11,916 - total_step: 114000, sum_reward: 3444.9708978371336
2021-11-30 11:34:56,344 - total_step: 115000, sum_reward: 3383.47598245051
2021-11-30 11:42:48,091 - total_step: 116000, sum_reward: 3428.381997303662
2021-11-30 11:49:32,319 - total_step: 117000, sum_reward: 3425.901261836293
2021-11-30 11:57:22,902 - total_step: 118000, sum_reward: 3426.599317117471
2021-11-30 12:05:14,208 - total_step: 119000, sum_reward: 3440.236468984899
2021-11-30 12:14:42,184 - total_step: 120000, sum_reward: 3413.8814777081616
2021-11-30 12:21:37,634 - total_step: 121000, sum_reward: 3392.8271628254
2021-11-30 12:30:22,007 - total_step: 122000, sum_reward: 3380.605645902012
2021-11-30 12:40:39,336 - total_step: 123000, sum_reward: 3397.3998382600985
2021-11-30 12:48:30,640 - total_step: 124000, sum_reward: 3413.838278581851
2021-11-30 12:56:22,899 - total_step: 125000, sum_reward: 3382.8696780229393
2021-11-30 13:04:01,952 - total_step: 126000, sum_reward: 3439.8847587776286
2021-11-30 13:11:33,719 - total_step: 127000, sum_reward: 3431.4507919275807
2021-11-30 13:26:17,452 - total_step: 128000, sum_reward: 3402.394557522775
2021-11-30 13:42:19,312 - total_step: 129000, sum_reward: 3408.2871466667207
2021-11-30 13:57:52,108 - total_step: 130000, sum_reward: 3461.2289336241433
2021-11-30 14:15:18,829 - total_step: 131000, sum_reward: 3482.6413218450607
2021-11-30 14:31:17,197 - total_step: 132000, sum_reward: 3453.070920072897
2021-11-30 14:46:20,233 - total_step: 133000, sum_reward: 3408.9115577368743
2021-11-30 15:02:35,886 - total_step: 134000, sum_reward: 3469.918180886765
2021-11-30 15:20:00,088 - total_step: 135000, sum_reward: 3480.1273577593493
2021-11-30 15:35:23,697 - total_step: 136000, sum_reward: 3427.3505503631686
2021-11-30 15:53:17,707 - total_step: 137000, sum_reward: 3480.7348589585395
2021-11-30 16:13:12,938 - total_step: 138000, sum_reward: 1902.9438633487373
2021-11-30 16:29:34,550 - total_step: 139000, sum_reward: 3506.516640491339
2021-11-30 16:45:46,196 - total_step: 140000, sum_reward: 3461.8566455555956
2021-11-30 17:01:02,088 - total_step: 141000, sum_reward: 3499.4262058474646
2021-11-30 17:18:56,529 - total_step: 142000, sum_reward: 3495.54258146117
2021-11-30 17:36:46,060 - total_step: 143000, sum_reward: 3460.1236390256727
2021-11-30 17:53:00,036 - total_step: 144000, sum_reward: 3485.082171890563
2021-11-30 18:09:15,967 - total_step: 145000, sum_reward: 3421.925674688619
2021-11-30 18:26:48,914 - total_step: 146000, sum_reward: 3394.612187221978
2021-11-30 18:42:45,851 - total_step: 147000, sum_reward: 3410.0432004213153
2021-11-30 19:00:20,517 - total_step: 148000, sum_reward: 3456.780542732071
2021-11-30 19:16:41,419 - total_step: 149000, sum_reward: 3442.8551307688144
2021-11-30 19:37:08,512 - total_step: 150000, sum_reward: 3435.5518865091776
2021-11-30 19:53:45,860 - total_step: 151000, sum_reward: 3425.098509943097
2021-11-30 20:11:06,397 - total_step: 152000, sum_reward: 3424.431815882333
2021-11-30 20:27:37,310 - total_step: 153000, sum_reward: 3460.5552554192473
2021-11-30 20:43:43,126 - total_step: 154000, sum_reward: 3498.623456859736
2021-11-30 21:00:04,973 - total_step: 155000, sum_reward: 3432.7810118746656
2021-11-30 21:16:01,610 - total_step: 156000, sum_reward: 3385.3103115844533
2021-11-30 21:32:25,446 - total_step: 157000, sum_reward: 3478.402202136373
2021-11-30 21:49:53,621 - total_step: 158000, sum_reward: 3424.2887043248356
2021-11-30 22:07:24,153 - total_step: 159000, sum_reward: 3436.560839948055
2021-11-30 22:24:06,953 - total_step: 160000, sum_reward: 3448.554408421815
