2021-11-27 19:58:41,120 - exp name: KL_model_pool_0
2021-11-28 07:53:55,999 - total_step: 81000, sum_reward: 3200.6741535813026
2021-11-28 08:08:26,242 - total_step: 82000, sum_reward: 3158.4286742050895
2021-11-28 08:22:21,443 - total_step: 83000, sum_reward: 3189.2596615184752
2021-11-28 08:37:33,211 - total_step: 84000, sum_reward: 3205.381290609
2021-11-28 08:44:01,736 - total_step: 85000, sum_reward: 3161.026141383573
2021-11-28 08:51:12,022 - total_step: 86000, sum_reward: 3189.131886442668
2021-11-28 08:58:14,313 - total_step: 87000, sum_reward: 3261.999516888233
2021-11-28 09:05:34,572 - total_step: 88000, sum_reward: 3224.322661405642
2021-11-28 09:12:39,806 - total_step: 89000, sum_reward: 3172.157020155059
2021-11-28 09:20:18,579 - total_step: 90000, sum_reward: 3203.9187022806022
2021-11-28 09:27:13,821 - total_step: 91000, sum_reward: 3194.6669910757128
2021-11-28 09:35:07,950 - total_step: 92000, sum_reward: 3191.668655653822
2021-11-28 09:42:19,875 - total_step: 93000, sum_reward: 3171.9609743546002
2021-11-28 09:50:08,449 - total_step: 94000, sum_reward: 3181.865847874193
2021-11-28 09:56:48,271 - total_step: 95000, sum_reward: 3217.800781741091
2021-11-28 10:04:37,249 - total_step: 96000, sum_reward: 3264.2962463892077
2021-11-28 10:11:54,615 - total_step: 97000, sum_reward: 3306.0448262413556
2021-11-28 10:19:40,314 - total_step: 98000, sum_reward: 3215.1926821115117
2021-11-28 10:28:13,813 - total_step: 99000, sum_reward: 3206.946452990985
2021-11-28 10:36:28,993 - total_step: 100000, sum_reward: 3168.331926101946
2021-11-28 10:44:00,001 - total_step: 101000, sum_reward: 3179.996042310783
2021-11-28 10:52:06,009 - total_step: 102000, sum_reward: 3190.6554086296105
2021-11-28 11:00:09,094 - total_step: 103000, sum_reward: 3203.56461517577
2021-11-28 11:06:35,820 - total_step: 104000, sum_reward: 3197.8212518384753
2021-11-28 11:14:40,925 - total_step: 105000, sum_reward: 3186.177005228241
2021-11-28 11:21:58,316 - total_step: 106000, sum_reward: 3194.954097980109
2021-11-28 11:29:22,704 - total_step: 107000, sum_reward: 3202.5159589747295
2021-11-28 11:37:44,776 - total_step: 108000, sum_reward: 3209.0840239234444
2021-11-28 11:46:35,834 - total_step: 109000, sum_reward: 3235.356923523382
2021-11-28 11:55:34,648 - total_step: 110000, sum_reward: 3194.516555132126
2021-11-28 12:04:49,285 - total_step: 111000, sum_reward: 3178.5523519676112
2021-11-28 12:12:27,177 - total_step: 112000, sum_reward: 3172.3832837977216
2021-11-28 12:19:53,499 - total_step: 113000, sum_reward: 3233.823250584405
2021-11-28 12:28:20,445 - total_step: 114000, sum_reward: 3193.7667587758838
